gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0279783	121.0402	-0.06402409	0.33739054	0.5987461	0.8009903
DDB_G0279787	1.366314	-0.06753105	0.40201681	0.3733303	NA
DDB_G0279789	50.78708	0.2435688	0.3080849	0.1297895	0.419363
DDB_G0279791	4854.874	-0.1306313	0.20831705	0.2732466	0.566746
DDB_G0279793	6984.393	-0.3699778	0.28905929	0.03462278	0.2520691
DDB_G0279795	666.3056	-0.06587812	0.33103894	0.5981698	0.8004275
DDB_G0279797	1408.878	0.14915	0.24919697	0.2769794	0.5709134
DDB_G0279799	19920.6	-0.0997359	0.3473885	0.4216957	0.6865049
DDB_G0279801	598.1917	0.003360982	0.16481531	0.9729634	0.9896304
DDB_G0279803	374.6181	0.4201597	0.5674322	NA	NA
DDB_G0279805	78.69107	0.2626285	0.25952006	0.08349079	0.3578816
DDB_G0279807	2423.704	0.1045181	0.21365224	0.3898919	0.6626512
DDB_G0279809	304.9922	-0.06142662	0.14274524	0.46103	0.7116779
DDB_G0279811	8.421361	-0.1484705	0.38836888	0.2080358	0.5026589
DDB_G0279813	1872.268	-0.1739866	0.24227788	0.2020256	0.4960616
DDB_G0279815	148.5802	-0.2296449	0.36496503	0.1338958	0.4246959
DDB_G0279817	100.8971	0.4334682	0.74404972	NA	NA
DDB_G0279819	17.63019	0.5674464	0.47130355	0.007334154	0.1229519
DDB_G0279821	467.7487	0.4562909	0.3298978	0.01919128	0.1947014
DDB_G0279823	3959.159	-0.2091919	0.20798587	0.0923681	0.372944
DDB_G0279825	364.4457	0.3392343	0.27570225	0.04249978	0.2723718
DDB_G0279827	1513.692	0.08455257	0.21299528	0.4853782	0.7268065
DDB_G0279829	798.7041	-0.0403074	0.20770998	0.7348404	0.8765791
DDB_G0279831	1320.385	-0.2635127	0.28608695	0.09879289	0.3803188
DDB_G0279835	104.7548	0.43437	0.38812584	0.02509987	0.2195972
DDB_G0279837	269.8157	0.2525566	0.26460348	0.09697306	0.3788772
DDB_G0279839	3.092118	0.01944906	0.35481904	0.8524704	NA
DDB_G0279841	0.7562419	0.005423696	0.4035525	0.9204764	NA
DDB_G0279843	223.3728	0.0356612	0.17433133	0.7305856	0.8742296
DDB_G0279845	29.20263	0.3644115	0.38878956	0.04362373	0.2738904
DDB_G0279851	58.58456	0.3505515	0.36661423	0.0515733	0.2967868
DDB_G0279855	135.5341	-0.2746911	0.26128824	0.0742625	0.3421389
DDB_G0279857	1071.555	0.1017091	0.24267388	0.4425858	0.700961
DDB_G0279859	222.3337	0.2538529	0.38511857	0.09984346	0.3818719
DDB_G0279861	74.57821	0.1910986	0.39186956	0.1471587	0.442863
DDB_G0279863	4292.488	-0.1835886	0.25435759	0.1945676	0.4891861
DDB_G0279865	260.4138	-0.1516064	0.2426869	0.2617124	0.5557063
DDB_G0279867	1263.649	0.8223002	0.89296091	0.001069818	0.04829648
DDB_G0279871	75.82332	-0.6881745	0.45872786	0.002913211	0.07870901
DDB_G0279873	440.9324	-0.03635234	0.13331695	0.6476969	0.8297031
DDB_G0279875	2.602649	-0.1593661	0.4280933	0.1237236	NA
DDB_G0279877	208.4737	-0.05077519	0.24846203	0.6996386	0.8578357
DDB_G0279879	108.9741	0.05731831	0.29551544	0.6689211	0.8404199
DDB_G0279881	189.6691	0.1008998	0.29861984	0.4672272	0.7143637
DDB_G0279883	0.8120443	0.03692306	0.42058518	0.4096345	NA
DDB_G0279885	0.5285839	0.02681403	0.41764848	0.5320874	NA
DDB_G0279887	2.794553	0.0008983136	0.40786354	0.9852718	NA
DDB_G0279889	5.545992	0.1564572	0.39108435	0.1906961	NA
