gene_id	WT1_vegetativ	WT2_vegetativ	WT3_vegetativ	D1_vegetativ	D2_vegetativ	D3_vegetativ
DDB_G0289489	7.66128158	7.62713931	7.75223373	8.15786656	7.83796403	8.01205975
DDB_G0289493	5.4986683	5.49877869	5.47622922	5.50044017	5.47093056	5.68022156
DDB_G0289495	8.18828284	8.29463661	8.47175206	8.89912629	8.50764825	8.410773
DDB_G0289497	5.71370344	5.49877869	5.58903657	5.67234499	5.47093056	5.20249694
DDB_G0289499	7.68404553	7.42394241	7.49009699	7.52746535	7.40245515	8.06419614
DDB_G0289501	9.67857991	9.63492297	9.66038506	9.33011419	9.81265181	9.74461114
DDB_G0289503	7.88318267	8.27268523	8.52796723	8.64257436	7.79594815	8.03184126
DDB_G0289505	8.60513329	8.76034496	8.84001193	9.90501854	7.98683706	9.60355342
DDB_G0289507	7.43689453	7.45110842	7.59705195	8.85534117	7.42514581	8.43306648
DDB_G0289511	11.12073464	11.03868996	11.07489435	10.96327739	11.06185186	10.91942553
DDB_G0289513	10.85798882	10.85781435	10.84228978	10.95642569	11.66061881	11.05589472
DDB_G0289515	8.71164231	8.67422643	8.83367836	8.50719995	8.61602918	8.42567442
DDB_G0289517	5.4986683	5.49877869	5.67520921	5.50044017	5.73707542	5.68022156
DDB_G0289519	10.81870729	10.90197592	11.06283601	11.47083023	9.58856208	9.87125965
DDB_G0289521	7.91213647	7.89369143	8.85050569	9.42606888	9.78150074	8.84214627
DDB_G0289523	8.40538065	8.22772361	8.14766006	8.04843321	8.02348405	8.40577064
DDB_G0289527	5.20249694	5.20249694	5.20249694	5.20249694	5.47093056	5.45868301
DDB_G0289529	10.31782703	10.29933459	9.91246672	9.37202629	9.59096117	9.41540235
DDB_G0289531	6.32318848	6.6011113	6.86443863	6.74856841	6.37238333	6.63827882
DDB_G0289533	10.65967228	10.72590845	10.66689369	10.98980401	10.79942371	10.98803398
DDB_G0289535	9.89021759	9.72552729	9.78324731	9.74834394	9.6357986	9.91198608
DDB_G0289537	6.45594831	6.65391167	6.48845802	7.35643432	6.15438443	6.77588796
DDB_G0289539	9.4204602	9.92866363	10.23041101	9.82943996	9.83911406	10.01553994
DDB_G0289541	14.22367615	14.07789486	14.42593163	13.34524612	13.34512446	12.71328414
DDB_G0289543	6.94708058	6.48699019	6.88258716	7.53386755	7.28268475	7.17586019
DDB_G0289545	5.97809553	5.79199281	5.94504523	6.29312457	5.7993338	6.04141717
DDB_G0289547	8.53349247	8.54048775	8.70533888	8.72342996	8.55794318	9.824716
DDB_G0289549	7.42324451	7.04373468	7.29217487	7.39955359	6.77987082	7.24828503
DDB_G0289551	10.32660867	10.33287116	10.89362578	10.58581466	10.24425282	10.2634195
DDB_G0289553	9.48161394	9.18608821	9.53253095	8.84293598	10.09187044	9.63353051
DDB_G0289555	5.92176773	5.86045107	5.94504523	5.86409041	6.04074263	5.92061637
DDB_G0289557	7.49012559	7.49083782	7.50669775	7.36372037	7.2700761	7.15709025
DDB_G0289561	6.20968831	6.24950562	6.0568736	6.29312457	5.90671814	6.17735285
DDB_G0289563	8.21924589	8.10855628	8.4772033	7.96728048	7.94153897	7.83138495
DDB_G0289565	5.20249694	5.20249694	5.20249694	5.20249694	5.20249694	5.38376669
DDB_G0289567	5.4986683	5.49877869	5.920382	5.92599803	5.66611114	5.94225222
DDB_G0289571	10.0809149	10.29754769	10.45284619	10.56869006	10.33136587	10.06032569
