gene_id	WT1_aggregat	WT2_aggregat	WT3_aggregat	D1_aggregat	D2_aggregat	D3_aggregat
DDB_G0276625	8.4843376	8.5137981	8.39864649	8.57531801	8.56173863	8.23210028
DDB_G0276627	9.59066134	9.85688275	9.89148681	10.62098625	10.04922169	9.8137531
DDB_G0276629	5.56494386	5.86530204	5.56494386	5.56494386	5.7535101	5.81231358
DDB_G0276631	6.55072696	6.6451169	6.72411796	6.79853643	7.02339436	6.97357198
DDB_G0276633	8.55228136	8.68842638	8.69723866	9.98918791	9.02802179	9.28872512
DDB_G0276637	5.86080485	5.56494386	5.56494386	5.56494386	5.7535101	5.56494386
DDB_G0276645	5.56494386	5.56494386	6.38819753	5.56494386	7.8501285	7.2083483
DDB_G0276649	5.56494386	5.56494386	5.78774359	5.56494386	5.56494386	5.56494386
DDB_G0276657	10.50349917	10.10143725	10.32976184	8.69376421	9.74925615	8.86593798
DDB_G0276659	7.29785948	7.5612046	7.65669073	7.55847553	7.99523596	7.46661363
DDB_G0276661	11.42574195	11.18807639	11.46302446	11.16066504	11.70700554	11.32688534
DDB_G0276663	11.43305958	11.53259049	11.59210015	11.52116077	11.0996389	10.99225106
DDB_G0276665	5.77433213	5.56494386	5.8376816	5.56494386	5.56494386	5.56494386
DDB_G0276667	5.77433213	5.86530204	5.72256525	5.56494386	5.7535101	5.81231358
DDB_G0276671	6.41661119	6.89611799	6.62225783	6.74883057	6.93727425	7.69072662
DDB_G0276673	9.86939954	9.88077434	9.85926007	9.74506452	9.85298817	10.04903846
DDB_G0276675	7.08911855	7.29053572	7.19061836	7.09253381	7.16884781	7.02817455
DDB_G0276677	9.26319132	9.05857939	9.02778237	8.99897535	9.41832128	9.48780187
DDB_G0276679	7.50146883	7.54430793	7.59084295	7.74456515	7.58117521	7.85479305
DDB_G0276681	10.59027333	10.67841586	10.75113124	13.04355004	11.49986192	11.83490818
DDB_G0276683	8.8115433	8.90449151	8.88876921	9.62381165	9.46391358	9.63229893
DDB_G0276685	5.56494386	5.56494386	5.95008323	5.56494386	5.56494386	5.56494386
DDB_G0276687	5.56494386	5.56494386	5.87971872	5.82414251	5.56494386	5.91435159
DDB_G0276689	9.09297707	9.04163092	9.11342361	9.18648295	9.08984277	9.07994235
DDB_G0276691	7.57604666	7.52718311	7.71116308	7.21467648	7.32230259	7.95946452
DDB_G0276693	8.06119516	7.88606438	7.95062766	6.24531916	6.510136	5.91435159
